pinyin	phoneme	syll	syll_n	letter_n	sound_n	
mao2yi1	m#2yi1	['mao', 'yi']	2	5	4	
zai1yang1	z#1yaŋ1	['zai', 'yang']	2	7	5	
xiong2	xioŋ2	['xiong']	1	5	4	
pin2	pin2	['pin']	1	3	3	
zha4	$a4	['zha']	1	3	2	
wan2bi4	wan2bi4	['wan', 'bi']	2	5	5	
qing1wa1	qjəŋ1wa1	['qing', 'wa']	2	6	6	
ha1mi3ji2duo1dun4	ha1mi3ji2duo1dwən4	['ha', 'mi', 'ji', 'duo', 'dun']	5	12	13	
da4di4	da4di4	['da', 'di']	2	4	4	
tuo2	tuo2	['tuo']	1	3	3	
tao1	t#1	['tao']	1	3	2	
chou2zi	$#2zi	['chou', 'zi']	2	6	4	
ron4gui4	ron4gui4	['ron', 'gui']	2	6	6	
mei3wei4	m#3w#4	['mei', 'wei']	2	6	4	
qun2zhong4	qun2$oŋ4	['qun', 'zhong']	2	8	6	
ha1li4lu4ya4	ha1li4lu4ya4	['ha', 'li', 'lu', 'ya']	4	8	8	
ye1he2hua2	ye1he2hua2	['ye', 'he', 'hua']	3	7	7	
da4tui3	da4tui3	['da', 'tui']	2	5	5	
xiao3ren2	xi#3ren2	['xiao', 'ren']	2	7	6	
ge1ge2	ge1ge2	['ge', 'ge']	2	4	4	
ma3ge4	ma3ge4	['ma', 'ge']	2	4	4	
bei3bian1	b#3bian1	['bei', 'bian']	2	7	6	
chi3cun4	$i3cwən4	['chi', 'cun']	2	6	6	
ming2jing4	mjəŋ2jjəŋ4	['ming', 'jing']	2	8	8	
lan2bao3shi2	lan2b#3$i2	['lan', 'bao', 'shi']	3	9	7	
hong2ma3nao3	hoŋ2ma3n#3	['hong', 'ma', 'nao']	3	9	7	
yue4guang1	ɥe4guaŋ1	['yue', 'guang']	2	8	6	
