pinyin	phoneme	syll	syll_n	letter_n	sound_n	
cheng2xing2	$eŋ2xjəŋ2	['cheng', 'xing']	2	9	7	
gai3huan4	g#3huan4	['gai', 'huan']	2	7	6	
kou3qi4	k#3qi4	['kou', 'qi']	2	5	4	
xia4jia3	xia4jia3	['xia', 'jia']	2	6	6	
huan1hu1	huan1hu1	['huan', 'hu']	2	6	6	
xie2zhi4	xie2$i4	['xie', 'zhi']	2	6	5	
quan4dao3	quan4d#3	['quan', 'dao']	2	7	6	
tao3yan4	t#3yan4	['tao', 'yan']	2	6	5	
xiao1mie4	xi#1mie4	['xiao', 'mie']	2	7	6	
chou2hen4	$#2hen4	['chou', 'hen']	2	7	5	
fen1zheng1	fen1$eŋ1	['fen', 'zheng']	2	8	6	
xie2qing2	xie2qjəŋ2	['xie', 'qing']	2	7	7	
xu1ming2	xu1mjəŋ2	['xu', 'ming']	2	6	6	
re3qi4	re3qi4	['re', 'qi']	2	4	4	
sang4zhi4	saŋ4$i4	['sang', 'zhi']	2	7	5	
xi1tu2	xi1tu2	['xi', 'tu']	2	4	4	
jin3yao4	jin3y#4	['jin', 'yao']	2	6	5	
xia2ci1	xia2ci1	['xia', 'ci']	2	5	5	
da4li4	da4li4	['da', 'li']	2	4	4	
chao1	$#1	['chao']	1	4	2	
feng1su2	feŋ1su2	['feng', 'su']	2	6	5	
ju2	ju2	['ju']	1	2	2	
du3xin4	du3xin4	['du', 'xin']	2	5	5	
kuo4	kuo4	['kuo']	1	3	3	
qia1xu1	qia1xu1	['qia', 'xu']	2	5	5	
qi1pian4	qi1pian4	['qi', 'pian']	2	6	6	
yuan2shou3	ɥæn2$#3	['yuan', 'shou']	2	8	5	
han2	han2	['han']	1	3	3	
jing	jjəŋ	['jing']	1	4	4	
xiang1yi2	xiaŋ1yi2	['xiang', 'yi']	2	7	6	
xu1fu2	xu1fu2	['xu', 'fu']	2	4	4	
ren2yin1wei	ren2yin1w#	['ren', 'yin', 'wei']	3	9	8	
yu2mei4	yu2m#4	['yu', 'mei']	2	5	4	
guang1yin1	guaŋ1yin1	['guang', 'yin']	2	8	7	
shi1zhang1	$i1$aŋ1	['shi', 'zhang']	2	8	5	
song4ci2	soŋ4ci2	['song', 'ci']	2	6	5	
zhe0dao4	$e0d#4	['zhe', 'dao']	2	6	4	
dian4wu1	dian4wu1	['dian', 'wu']	2	6	6	
shang3ci4ni3men	$aŋ3ci4ni3men	['shang', 'ci', 'ni', 'men']	4	12	10	
guan3xia2	guan3xia2	['guan', 'xia']	2	7	7	
you1an4	y#1an4	['you', 'an']	2	5	4	
shuai1jiao1	$u#1ji#1	['shuai', 'jiao']	2	9	6	
teng2	teŋ2	['teng']	1	4	3	
ti3hui4	ti3hui4	['ti', 'hui']	2	5	5	
jing1xia4	jjəŋ1xia4	['jing', 'xia']	2	7	7	
tong2deng3	toŋ2deŋ3	['tong', 'deng']	2	8	6	
ji2su4	ji2su4	['ji', 'su']	2	4	4	
quan3	quan3	['quan']	1	4	4	
fen4tu3	fen4tu3	['fen', 'tu']	2	5	5	
biao1gan1	bi#1gan1	['biao', 'gan']	2	7	6	
xiang1si4	xiaŋ1si4	['xiang', 'si']	2	7	6	
qia1rang4	qia1raŋ4	['qia', 'rang']	2	7	6	
xin1huai2	xin1hu#2	['xin', 'huai']	2	7	6	
ke3jing4	ke3jjəŋ4	['ke', 'jing']	2	6	6	
ke3ai4	ke3#4	['ke', 'ai']	2	4	3	
mi4jue2	mi4jue2	['mi', 'jue']	2	5	5	
kui4song4	kui4soŋ4	['kui', 'song']	2	7	6	
dui4de0qi3	dui4de0qi3	['dui', 'de', 'qi']	3	7	7	
yuan2shi3	ɥæn2$i3	['yuan', 'shi']	2	7	5	
wen3gu4	wen3gu4	['wen', 'gu']	2	5	5	
li4shi4li4dai4	li4$i4li4d#4	['li', 'shi', 'li', 'dai']	4	10	8	
feng1zu2	feŋ1zu2	['feng', 'zu']	2	6	5	
yong4ni3men	yoŋ4ni3men	['yong', 'ni', 'men']	3	9	8	
zi4ju4	zi4ju4	['zi', 'ju']	2	4	4	
ju1ni	ju1ni	['ju', 'ni']	2	4	4	
jin1jie2	jin1jie2	['jin', 'jie']	2	6	6	
