char	char_n	com_n	stroke_n	
逃往	2	4	17	
埃及	2	4	13	
寻找	2	4	13	
除	1	3	9	
灭	1	2	5	
夜间	2	5	15	
直到	2	4	16	
死	1	3	6	
愚弄	2	4	20	
发怒	2	4	14	
城里	2	3	16	
四	1	3	5	
境	1	4	14	
所有	2	3	14	
男孩	2	4	16	
照	1	4	13	
查问	2	5	15	
凡	1	1	3	
两	1	1	7	
岁	1	2	6	
杀	1	2	6	
尽	1	2	6	
应	1	2	7	
耶利米	3	5	21	
号啕大哭	4	9	30	
声音	2	4	16	
拉结	2	5	17	
哭	1	3	10	
儿女	2	2	5	
肯	1	2	8	
受	1	3	8	
安慰	2	6	21	
以后	2	5	10	
要害	2	5	19	
性命	2	5	16	
亚基老	3	7	23	
接着	2	5	22	
父亲	2	4	13	
便	1	2	9	
加	1	2	5	
利利	2	4	14	
境内	2	6	18	
座	1	4	10	
拿撒勒	3	10	36	
那时	2	4	13	
施洗	2	6	18	
约翰	2	5	22	
旷野	2	4	18	
传道	2	4	20	
天	1	1	4	
国	1	3	8	
近	1	2	7	
应当	2	4	13	
悔改	2	5	17	
赛亚	2	6	20	
人声	2	3	9	
喊	1	4	12	
预备	2	4	18	
道	1	2	14	
修	1	3	9	
身穿	2	3	16	
骆驼	2	6	17	
毛	1	1	4	
衣服	2	4	14	
腰	1	3	13	
束	1	1	7	
皮带	2	4	14	
吃	1	3	6	
蝗虫	2	4	21	
野	1	2	11	
蜜	1	3	14	
全地	2	4	12	
河	1	3	8	
一带	2	4	10	
出去	2	4	10	
承认	2	3	12	
罪	1	2	13	
河里	2	4	15	
洗	1	3	9	
许多	2	5	12	
法利	2	4	15	
赛	1	4	14	
该	1	2	8	
受洗	2	6	17	
对	1	2	5	
毒蛇	2	5	20	
种类	2	4	18	
谁	1	2	10	
逃避	2	6	25	
忿怒	2	6	17	
呢	1	3	8	
结出	2	5	14	
果子	2	3	11	
心	1	1	4	
相称	2	5	19	
祖宗	2	4	17	
告诉	2	4	14	
能	1	4	10	
这些	2	6	15	
石头	2	2	10	
兴起	2	4	16	
现在	2	4	14	
斧子	2	3	11	
放在	2	4	14	
树根	2	5	19	
上	1	2	3	
结	1	3	9	
树	1	3	9	
砍	1	2	9	
丢	1	2	6	
火	1	1	4	
用	1	2	5	
水	1	1	4	
叫	1	2	5	
后来	2	4	13	
能力	2	5	12	
比	1	1	4	
更	1	1	7	
大	1	1	3	
提	1	2	12	
鞋	1	3	15	
配	1	2	10	
手里	2	2	11	
簸箕	2	7	33	
扬	1	2	6	
净	1	2	8	
场	1	2	6	
麦子	2	3	10	
收	1	2	6	
仓	1	2	4	
糠	1	3	17	
烧	1	3	10	
下	1	2	3	
拦住	2	6	15	
反倒	2	5	14	
这里	2	3	14	
吗	1	2	6	
暂且	2	4	17	
许	1	3	6	
理当	2	4	17	
诸	1	3	10	
般	1	2	10	
义	1	1	3	
或	1	3	8	
礼	1	2	5	
于是	2	3	12	
随即	2	5	18	
上来	2	3	10	
开	1	1	4	
灵	1	2	7	
仿佛	2	4	13	
鸽子	2	5	14	
降	1	3	8	
落	1	4	12	
身上	2	3	10	
天上	2	3	7	
爱子	2	4	13	
喜悦	2	7	22	
当时	2	4	13	
引	1	2	4	
魔鬼	2	4	29	
试探	2	7	19	
禁食	2	5	22	
四十	2	4	7	
昼夜	2	6	17	
饿	1	2	10	
前	1	3	9	
若	1	3	8	
可以	2	4	9	
变成	2	3	14	
食物	2	4	17	
却	1	2	7	
经	1	3	8	
活	1	2	9	
单	1	2	8	
靠	1	3	15	
乃是	2	3	11	
口里	2	2	10	
圣城	2	4	14	
站	1	3	10	
殿	1	4	13	
顶	1	2	8	
翅	1	2	10	
跳	1	2	13	
下去	2	4	8	
主要	2	4	14	
手	1	1	4	
托	1	2	6	
免得	2	7	18	
脚	1	3	11	
碰	1	3	13	
不可	2	3	9	
最高	2	7	22	
山	1	1	8	
世上	2	3	8	
万国	2	4	11	
万	1	1	3	
荣华	2	5	15	
指	1	3	9	
看	1	2	9	
赐	1	3	12	
退	1	2	9	
吧	1	2	7	
抵挡	2	5	17	
意思	2	4	22	
乃	1	1	2	
别名	2	5	13	
要事	2	5	17	
奉	1	2	8	
离	1	4	10	
天使	2	3	12	
伺候	2	5	17	
监	1	3	10	
离开	2	5	14	
迦百农	3	6	20	
海	1	3	10	
西布伦	3	6	17	
弗	1	1	5	
利	1	2	7	
边界	2	5	14	
的话	2	4	16	
西布伦地	4	8	23	
沿海	2	6	18	
外	1	2	5	
邦	1	2	6	
利利地	3	6	20	
坐	1	3	7	
黑暗	2	4	25	
光	1	2	6	
荫	1	3	9	
发现	2	3	13	
照着	2	6	24	
传	1	2	6	
海边	2	5	15	
行走	2	5	13	
二	1	2	2	
称呼	2	5	18	
彼得	2	6	19	
西门	2	2	9	
兄弟	2	4	12	
安得烈	3	9	27	
海里	2	4	17	
撒网	2	7	21	
本	1	2	5	
打鱼	2	5	13	
跟	1	2	13	
如	1	2	6	
鱼	1	3	8	
一样	2	3	11	
立刻	2	4	13	
舍	1	3	8	
网	1	3	6	
走	1	2	7	
庇	1	2	7	
太	1	1	4	
船上	2	5	14	
补	1	2	7	
招呼	2	5	16	
船	1	3	11	
别	1	3	7	
走遍	2	4	19	
会堂	2	6	17	
教训	2	5	16	
天国	2	4	12	
福音	2	6	22	
医治	2	5	15	
各样	2	4	16	
病症	2	4	20	
名声	2	4	13	
传遍	2	4	18	
叙利亚	3	7	22	
害病	2	5	20	
害	1	3	10	
疾病	2	4	20	
疼痛	2	6	22	
鬼	1	2	9	
附	1	3	7	
癫痫	2	8	33	
瘫痪	2	5	27	
治	1	3	8	
低	1	2	7	
波利	2	4	15	
既	1	2	9	
已	1	1	3	
坐下	2	5	10	
门徒	2	3	13	
前来	2	4	16	
开口	2	2	7	
虚心	2	3	15	
福	1	4	13	
哀	1	3	9	
恸	1	4	9	
必得	2	5	16	
温柔	2	5	21	
承受	2	4	16	
土	1	1	3	
饥渴	2	5	17	
慕义	2	5	17	
饱	1	3	8	
足	1	2	7	
怜恤	2	4	17	
蒙	1	3	13	
清心	2	3	15	
使	1	2	8	
和睦	2	6	21	
逼迫	2	6	20	
辱骂	2	5	19	
捏造	2	6	20	
坏话	2	4	15	
毁谤	2	5	25	
快乐	2	4	12	
赏赐	2	6	24	
以前	2	5	13	
盐	1	3	10	
失	1	1	5	
味	1	2	8	
怎	1	2	9	
再	1	1	6	
咸	1	3	9	
无用	2	3	9	
不过	2	3	10	
外面	2	7	14	
践踏	2	5	27	
造	1	3	10	
山上	2	3	11	
隐藏	2	7	28	
点灯	2	5	15	
