char	char_n	com_n	stroke_n	
争	1	2	6	
竞	1	3	10	
喧嚷	2	11	32	
街上	2	7	15	
压	1	2	6	
伤	1	3	6	
折断	2	4	18	
残	1	2	9	
灯火	2	3	10	
施行	2	6	15	
得胜	2	6	20	
仰望	2	6	17	
瞎	1	4	15	
无非	2	2	12	
意念	2	4	21	
自	1	2	6	
相	1	2	9	
分	1	2	4	
成为	2	2	10	
荒	1	3	9	
站立	2	5	15	
子弟	2	3	10	
断定	2	4	19	
是非	2	3	17	
壮士	2	3	9	
抢夺	2	5	21	
家具	2	4	18	
除非	2	4	17	
捆	1	4	10	
家财	2	4	17	
敌我	2	4	17	
聚	1	3	14	
分散	2	5	16	
亵渎	2	6	23	
赦免	2	5	18	
干	1	1	3	
犯人	2	3	7	
今世	2	2	9	
来世	2	2	12	
以为	2	3	8	
也好	2	3	9	
充满	2	5	19	
发出	2	3	10	
闲话	2	4	15	
句句	2	4	10	
供	1	3	8	
凭	1	3	8	
定	1	2	8	
文士和	3	5	15	
迹	1	2	9	
邪恶	2	4	16	
以外	2	4	9	
三日	2	4	7	
三	1	3	3	
夜	1	3	8	
鱼肚	2	5	15	
腹	1	4	13	
尼尼	2	4	10	
微	1	5	13	
南方	2	6	13	
女王	2	2	7	
地极	2	4	13	
而	1	1	6	
人身	2	2	9	
过去	2	4	11	
寻求	2	3	13	
安歇	2	5	19	
处	1	2	5	
空闲	2	4	15	
打扫	2	4	11	
干净	2	3	11	
修饰	2	6	17	
另	1	2	5	
七	1	1	2	
末	1	1	5	
景况	2	7	19	
先前	2	5	15	
不料	2	3	14	
姐妹	2	4	16	
聚集	2	5	26	
岸上	2	5	12	
比喻	2	5	16	
撒种	2	6	24	
路旁	2	4	23	
浅	1	2	8	
深	1	4	11	
发	1	1	5	
苗	1	2	8	
快	1	2	7	
晒	1	2	10	
挤	1	2	9	
结实	2	6	17	
百倍	2	5	16	
六十	2	3	6	
倍	1	3	10	
三十	2	4	5	
讲话	2	4	14	
奥秘	2	5	22	
还要	2	4	16	
有余	2	3	13	
夺	1	2	6	
晓得	2	7	21	
油	1	2	8	
耳朵	2	3	12	
沉	1	3	7	
闭	1	2	6	
回转	2	5	14	
暂时	2	5	19	
及至	2	3	9	
遭	1	3	14	
患难	2	4	21	
钱财	2	4	17	
迷惑	2	6	21	
设	1	2	6	
田里	2	4	12	
睡觉	2	5	22	
稗子	2	3	16	
吐穗	2	5	23	
田主	2	5	10	
薅	1	4	16	
不必	2	2	9	
拔	1	2	8	
一齐	2	3	7	
收割	2	6	18	
成	1	1	6	
粒	1	2	11	
芥菜	2	6	18	
菜	1	3	11	
宿	1	3	11	
枝	1	2	8	
面	1	5	9	
酵	1	3	14	
全团	2	4	12	
创世	2	4	11	
以来	2	3	11	
发明	2	3	13	
来说	2	5	16	
田间	2	5	12	
田地	2	5	11	
世界	2	4	14	
焚烧	2	6	22	
末了	2	2	7	
他国	2	5	13	
挑	1	2	9	
火炉	2	3	12	
太阳	2	3	10	
宝贝	2	3	12	
欢欢喜喜	4	10	36	
变卖	2	4	16	
块	1	2	7	
买卖人	3	5	16	
珠子	2	3	13	
颗	1	2	14	
重价	2	4	15	
聚拢	2	5	22	
水族	2	4	15	
满	1	3	13	
岸	1	3	9	
器具	2	7	24	
丢弃	2	4	13	
分别	2	5	11	
凡文士	3	4	10	
教	1	3	11	
库里	2	3	14	
家乡	2	3	13	
木匠	2	3	10	
约西	2	3	12	
妹妹	2	4	16	
厌弃	2	4	13	
大凡	2	2	6	
本家	2	4	15	
之外	2	3	8	
尊敬	2	7	24	
分封	2	5	13	
王希律	3	6	20	
臣仆	2	3	10	
起先	2	4	16	
希罗底	3	7	23	
锁	1	3	12	
曾	1	4	12	
合理	2	5	17	
为先	2	3	10	
知	1	2	8	
生日	2	2	9	
盘子	2	3	14	
忧愁	2	5	20	
席	1	3	10	
斩	1	2	8	
女子	2	2	6	
尸	1	1	3	
首领	2	4	20	
独自	2	4	15	
步行	2	4	13	
跟随	2	5	24	
晚	1	2	11	
散开	2	4	16	
村子	2	3	10	
草地	2	5	25	
望	1	3	11	
祝福	2	7	22	
掰开	2	5	16	
递给	2	7	19	
剩下	2	6	15	
零碎	2	7	26	
收拾	2	6	15	
装满	2	6	25	
篮子	2	5	19	
五千	2	2	7	
催	1	3	13	
散	1	3	12	
上山	2	3	11	
只有	2	3	11	
浪	1	2	10	
摇撼	2	8	29	
夜里	2	4	15	
海面	2	8	19	
惊慌	2	8	23	
鬼怪	2	5	17	
害怕	2	5	18	
连忙	2	4	13	
如果	2	4	14	
水面	2	6	13	
疑惑	2	8	29	
真	1	3	10	
革	1	3	9	
尼	1	2	5	
周围	2	5	15	
只求	2	3	12	
准	1	2	10	
和文	2	4	12	
士	1	1	3	
遗传	2	5	18	
孝敬	2	6	19	
咒骂	2	6	17	
不错	2	4	17	
嘴唇	2	6	26	
远离	2	7	17	
教导	2	5	17	
枉然	2	5	20	
入口	2	2	5	
污秽	2	6	17	
出口	2	3	8	
不服	2	3	12	
栽种	2	4	19	
瞎眼	2	6	26	
领路	2	5	24	
若是	2	5	17	
领	1	2	11	
运	1	3	7	
肚子	2	3	10	
茅厕	2	5	16	
凶杀	2	4	10	
苟	1	3	8	
偷盗	2	7	22	
证	1	2	7	
谤	1	2	12	
讟	0	0	0	
至于	2	3	9	
洗手	2	4	13	
迦南	2	7	17	
言	1	4	7	
答	1	4	12	
后头	2	4	11	
帮助	2	5	16	
不好	2	3	10	
但是	2	5	16	
桌子	2	4	13	
碎	1	5	13	
渣	1	4	12	
儿	1	1	2	
靠近	2	5	22	
残疾	2	4	19	
叫门	2	3	8	
徒	1	2	10	
困乏	2	5	11	
多少	2	4	10	
祝	1	3	9	
谢	1	3	12	
筐	1	3	12	
四千	2	4	8	
马加丹	3	4	12	
发红	2	3	11	
晴	1	2	12	
早晨	2	4	23	
风雨	2	3	12	
分辨	2	5	20	
气色	2	5	10	
这时候	3	7	24	
忘	1	2	7	
谨慎	2	6	26	
彼此	2	4	14	
议论	2	5	11	
记得	2	6	16	
说是	2	6	18	
门巴	2	2	7	
属	1	2	12	
血肉	2	4	12	
教会	2	6	17	
建造	2	5	18	
钥匙	2	4	20	
捆绑	2	7	19	
释放	2	5	20	
从此	2	4	10	
必须	2	3	14	
长老	2	3	10	
第三	2	6	14	
劝	1	2	4	
后边	2	5	11	
绊	1	2	8	
体贴	2	5	16	
对门	2	3	8	
己	1	1	3	
赚	1	2	14	
全世界	3	6	20	
赔	1	3	12	
益处	2	5	15	
换	1	2	10	
各人	2	3	8	
报应	2	4	14	
尝	1	3	9	
六	1	2	4	
高山	2	5	18	
形	1	2	7	
脸面	2	8	20	
明亮	2	6	17	
洁白	2	4	14	
搭	1	5	12	
棚	1	3	12	
之间	2	3	10	
云彩	2	5	15	
遮盖	2	6	25	
举目	2	4	14	
只见	2	3	9	
固然	2	7	20	
复兴	2	5	15	
万事	2	4	11	
任意	2	4	19	
跪	1	4	13	
屡	1	3	12	
次	1	2	6	
跌	1	2	12	
嗳	1	4	13	
悖	1	4	10	
谬	1	4	13	
这边	2	4	12	
挪	1	3	9	
那边	2	4	11	
类	1	2	9	
杀害	2	5	16	
丁	1	1	2	
纳丁	2	3	9	
半	1	1	5	
纳	1	2	7	
屋子	2	3	12	
如何	2	5	13	
征收	2	4	14	
关税	2	6	18	
既然如此	4	9	33	
免税	2	7	19	
触犯	2	4	18	
绊倒	2	5	18	
钓鱼	2	5	16	
钓	1	2	8	
口	1	1	3	
银	1	2	11	
当中	2	3	10	
磨	1	2	16	
石	1	1	5	
拴	1	3	9	
颈项	2	5	20	
免不了	3	5	13	
倘若	2	7	18	
缺	1	2	10	
强	1	3	12	
永	1	1	15	
常	1	3	11	
此	1	2	6	
拯救	2	5	20	
一百	2	3	7	
迷	1	2	9	
撇下	2	5	17	
九十九	3	3	6	
山里	2	2	15	
迷路	2	5	22	
得罪	2	6	24	
趁着	2	5	23	
指出	2	5	14	
错	1	3	13	
另外	2	4	10	
一两	2	2	8	
两三	2	4	10	
定准	2	4	18	
人和	2	3	10	
同心	2	4	10	
合意	2	5	19	
聚会	2	6	20	
七十	2	2	4	
算账	2	5	22	
算	1	3	14	
欠	1	2	4	
一千万	3	3	7	
偿还	2	6	18	
宽容	2	5	19	
慈心	2	5	17	
十两	2	2	9	
揪	1	3	12	
喉咙	2	6	20	
奴才	2	3	8	
怒	1	3	9	
掌	1	3	12	
刑	1	2	6	
起初	2	4	17	
男	1	2	7	
女	1	1	3	
因此	2	4	12	
夫妻	2	4	12	
不再	2	2	10	
配合	2	5	16	
分开	2	3	8	
硬	1	2	12	
生来	2	2	12	
阉人	2	4	13	
阉	1	3	11	
让	1	2	5	
禁止	2	4	17	
正是	2	4	14	
良善	2	5	19	
遵守	2	6	21	
作假	2	6	18	
少年	2	4	10	
缺少	2	4	14	
少年人	3	5	12	
忧	1	2	7	
愁	1	3	13	
产业	2	4	11	
很多	2	4	15	
财主	2	4	12	
难	1	2	10	
穿过	2	4	15	
针	1	2	7	
凡事	2	4	11	
宝座	2	6	18	
支派	2	5	13	
房屋	2	4	17	
清早	2	4	23	
雇	1	2	12	
葡萄园	3	9	30	
巳	1	1	3	
初	1	2	7	
市	1	2	5	
闲	1	2	7	
午	1	2	4	
申初	2	3	12	
酉	1	1	7	
整天	2	4	20	
园	1	3	7	
工钱	2	3	13	
谁知	2	4	18	
埋怨	2	5	19	
受热	2	6	18	
做	1	4	11	
小时	2	3	10	
亏负	2	4	9	
难道	2	4	24	
红	1	2	6	
一边	2	3	6	
戏弄	2	4	13	
钉	1	2	7	
右边	2	4	10	
左边	2	4	10	
左右	2	4	10	
十	1	1	2	
恼怒	2	7	18	
为主	2	3	9	
治理	2	5	19	
大臣	2	2	9	
操	1	5	16	
管束	2	4	21	
用人	2	3	7	
首	1	2	9	
正如	2	4	11	
舍命	2	6	16	
赎价	2	6	18	
耶利哥	3	8	25	
听说	2	6	16	
不许	2	4	10	
声	1	2	7	
越发	2	3	17	
站住	2	5	17	
将近	2	5	16	
伯法其	3	6	23	
橄榄	2	7	28	
对面	2	7	14	
匹	1	2	4	
驴	1	2	7	
驹	1	3	8	
解开	2	4	17	
牵	1	3	9	
立时	2	4	12	
锡安	2	5	19	
居民	2	4	13	
骑	1	4	11	
驹子	2	4	11	
上面	2	7	12	
多半	2	3	11	
铺	1	2	12	
树枝	2	5	17	
归于	2	3	8	
原有	2	4	16	
求救	2	3	18	
称颂	2	6	20	
高高在上	4	12	29	
惊动	2	7	17	
殿里	2	5	20	
买卖	2	4	14	
推倒	2	5	21	
兑换	2	5	15	
银钱	2	4	21	
凳子	2	4	17	
贼窝	2	6	22	
奇事	2	6	16	
奶	1	2	5	
口中	2	2	7	
赞美	2	7	25	
伯大尼	3	5	15	
住宿	2	5	18	
回城	2	5	15	
棵	1	2	12	
树上	2	5	12	
叶子	2	3	8	
从今	2	3	8	
永不	2	2	19	
结果	2	5	17	
不但	2	4	11	
挪开	2	4	13	
此地	2	4	12	
老	1	2	6	
仗	1	2	5	
洗礼	2	5	14	
人间	2	3	9	
懊悔	2	7	25	
大儿子	3	3	8	
娼妓	2	5	18	
先进	2	4	13	
栽	1	2	10	
圈	1	4	11	
篱笆	2	7	26	
池	1	2	6	
楼	1	3	13	
租	1	2	10	
户	1	2	4	
外国	2	5	13	
照样	2	6	23	
占	1	2	5	
推出	2	4	16	
处治	2	5	13	
下毒手	3	5	16	
写	1	3	5	
匠人	2	3	8	
弃	1	2	7	
角	1	2	7	
砸	1	3	10	
稀烂	2	8	21	
捉拿	2	6	20	
摆设	2	5	19	
娶亲	2	5	20	
筵席	2	6	22	
赴席	2	5	19	
牛	1	1	4	
肥	1	2	8	
畜	1	2	10	
宰	1	2	10	
齐备	2	4	14	
理	1	2	11	
其余	2	4	15	
凌辱	2	6	20	
凶手	2	3	8	
烧毁	2	6	23	
喜筵	2	6	24	
只是	2	4	14	
岔路	2	6	20	
上去	2	4	8	
不论	2	4	10	
善恶	2	5	22	
客	1	3	9	
进来	2	3	14	
观看	2	4	15	
宾客	2	6	19	
礼服	2	4	13	
礼服呢	3	7	21	
无言	2	5	11	
使唤	2	4	18	
手脚	2	4	15	
陷害	2	6	20	
诚实	2	5	16	
诚	1	2	8	
实	1	3	8	
传神	2	4	15	
徇情	2	5	20	
外貌	2	5	19	
意见	2	3	17	
纳税	2	6	19	
恶意	2	4	23	
号	1	2	6	
当归	2	4	11	
那天	2	3	10	
哥哥	2	8	20	
生子立	3	4	13	
第一	2	4	12	
第二	2	5	13	
第七	2	4	13	
圣经	2	5	13	
嫁	1	3	13	
论	1	3	6	
活人	2	3	11	
堵住	2	5	18	
法师	2	4	14	
性	1	2	8	
意	1	2	13	
其次	2	4	14	
相仿	2	4	15	
总纲	2	6	16	
感动	2	7	19	
脚下	2	5	14	
敢	1	2	11	
搁	1	4	12	
肩上	2	4	11	
指头	2	4	14	
佩戴	2	7	25	
经文	2	5	12	
高位	2	6	17	
拉比	2	3	12	
师尊	2	5	18	
卑	1	1	8	
自卑	2	3	14	
必升	2	2	9	
正当	2	4	11	
正要	2	4	14	
不容	2	3	13	
侵吞	2	6	16	
寡妇	2	6	20	
家产	2	3	16	
假意	2	6	24	
刑罚	2	5	15	
洋	1	2	9	
陆	1	3	7	
勾引	2	4	8	
加倍	2	5	15	
殿中	2	5	17	
金子	2	3	11	
金子成	3	4	17	
成圣	2	3	11	
薄荷	2	8	25	
茴香	2	6	18	
芹菜	2	5	18	
上十	2	3	5	
之一	2	2	4	
公义	2	3	7	
不行	2	4	10	
蠓虫	2	5	25	
滤	1	3	13	
吞	1	2	7	
盘	1	2	11	
盛	1	2	11	
勒索	2	5	21	
放荡	2	5	17	
粉饰	2	6	18	
坟墓	2	6	20	
好看	2	4	15	
骨头	2	3	14	
显出	2	4	14	
不法	2	3	12	
坟	1	2	7	
墓	1	4	13	
流先知	3	6	24	
证明	2	4	15	
贯	1	2	8	
逃脱	2	6	20	
有的	2	3	14	
追逼	2	6	21	
亚伯	2	4	13	
巴拉加	3	5	17	
迦利亚	3	7	21	
多次	2	4	12	
母鸡	2	3	12	
鸡	1	2	7	
翅膀	2	4	24	
留给	2	7	19	
圣殿	2	6	18	
殿宇	2	6	19	
拆	1	2	8	
毁	1	3	13	
预兆	2	3	16	
冒	1	2	9	
打仗	2	4	10	
末期	2	4	17	
攻打	2	4	12	
饥荒	2	5	14	
地震	2	4	21	
灾难	2	4	17	
生产	2	2	11	
陷	1	3	10	
万民	2	2	8	
增多	2	7	21	
爱心	2	4	14	
渐渐	2	6	22	
冷淡	2	5	18	
这天	2	3	11	
天下	2	3	7	
毁坏	2	5	20	
可憎	2	7	20	
圣地	2	4	11	
读	1	3	10	
须要	2	4	18	
会意	2	5	19	
取	1	2	8	
逃走	2	4	16	
冬天	2	3	9	
减少	2	6	15	
血气	2	5	10	
选民	2	4	14	
预先	2	4	16	
在内	2	4	10	
闪电	2	3	10	
东边	2	3	10	
西边	2	3	11	
尸首	2	3	12	
鹰	1	4	18	
月亮	2	5	13	
势	1	3	8	
震动	2	5	21	
兆头	2	2	11	
族	1	3	11	
驾	1	3	8	
云	1	2	4	
筒	1	4	12	
四方	2	5	9	
招	1	3	8	
方	1	2	4	
作风	2	4	11	
比方	2	3	8	
嫩	1	3	14	
叶	1	2	5	
夏天	2	3	14	
门口	2	2	6	
时辰	2	3	14	
洪水	2	4	13	
照常	2	7	24	
吃喝	2	6	18	
嫁娶	2	6	24	
方舟	2	3	10	
不知不觉	4	7	25	
全都	2	5	16	
推磨	2	4	27	
儆	1	5	14	
透	1	3	10	
想不到	3	6	25	
忠心	2	3	12	
见识	2	4	11	
派	1	3	9	
管理	2	5	25	
按时	2	5	16	
粮	1	2	13	
仆	1	2	4	
来得	2	5	18	
迟	1	2	7	
动手	2	4	10	
醉	1	5	15	
重重地	3	4	24	
腰斩	2	5	21	
迎接	2	6	18	
愚拙	2	5	21	
器皿	2	6	21	
迟延	2	4	13	
她们	2	4	11	
打盹	2	4	14	
半夜	2	4	13	
点	1	3	9	
随后	2	6	17	
家业	2	5	15	
才干	2	2	6	
二千	2	3	5	
一千	2	2	4	
掘开	2	5	15	
埋藏	2	5	27	
许久	2	4	9	
享受	2	6	16	
忍	1	2	7	
敛	1	3	11	
懒	1	4	16	
收回	2	5	12	
一万	2	2	4	
牧羊	2	3	14	
绵羊	2	4	17	
山羊	2	2	14	
安置	2	5	19	
赐福	2	7	25	
渴	1	3	12	
作客	2	5	16	
旅	1	3	10	
赤	1	1	7	
身	1	1	7	
顾	1	3	10	
咒	1	3	8	
诅	1	2	7	
逾越	2	6	24	
节	1	2	5	
院里	2	5	16	
大家	2	3	13	
诡计	2	6	12	
玉	1	1	15	
瓶	1	2	10	
贵	1	2	9	
香	1	2	9	
膏	1	5	14	
趁	1	3	12	
浇	1	3	9	
何	1	3	7	
枉	1	2	8	
费	1	2	9	
周济	2	5	17	
美事	2	5	17	
常有	2	4	17	
安葬	2	7	18	
普天之下	4	7	22	
述说	2	6	17	
纪念	2	4	14	
机会	2	5	12	
某	1	2	9	
蘸	1	4	22	
去世	2	3	10	
倒好	2	5	16	
立约	2	4	11	
葡萄汁	3	8	29	
唱	1	3	11	
诗	1	3	8	
来往	2	3	15	
今夜	2	4	12	
击打	2	4	10	
西马尼	3	4	14	
难过	2	4	16	
忧伤	2	5	13	
几乎	2	2	8	
稍	1	3	12	
可行	2	5	11	
怎么样	3	5	22	
片时	2	3	11	
心灵	2	3	11	
肉体	2	4	13	
意旨	2	4	19	
困倦	2	6	17	
仍然	2	5	18	
刀	1	1	2	
棒	1	3	10	
暗号	2	4	19	
亲	1	2	9	
嘴	1	4	16	
拉比安	3	5	18	
削	1	3	9	
鞘	1	3	16	
营	1	3	11	
事情	2	5	19	
强盗	2	6	23	
天天	2	2	8	
远远地	3	8	20	
跟着	2	4	24	
院子	2	5	12	
差役	2	4	16	
虽	1	2	9	
实据	2	7	19	
末后	2	4	11	
拆毁	2	5	21	
言语	2	7	16	
权能	2	6	16	
撕开	2	5	19	
见证人	3	4	13	
该死	2	5	14	
吐	1	2	6	
唾沫	2	4	19	
拳头	2	3	15	
手掌	2	4	16	
素来	2	3	17	
伙	1	2	6	
使女	2	3	11	
认得	2	6	15	
旁边	2	3	15	
口音	2	3	12	
露出	2	6	26	
痛哭	2	6	22	
解	1	3	13	
巡抚	2	4	13	
彼拉多	3	6	22	
后悔	2	6	16	
回来	2	4	13	
无辜	2	4	16	
承当	2	3	14	
吊死	2	5	12	
拾	1	4	9	
价	1	3	6	
窑	1	2	11	
田	1	3	5	
外乡人	3	4	10	
估	1	3	7	
价钱	2	5	16	
以致	2	5	14	
觉	1	3	9	
常例	2	6	19	
每逢	2	5	17	
期	1	3	12	
囚犯	2	5	10	
出名	2	4	11	
巴拉巴	3	4	16	
嫉妒	2	5	20	
坐堂	2	6	18	
夫人	2	2	6	
一点	2	4	10	
挑唆	2	6	19	
办	1	1	4	
极力	2	3	9	
无济于事	4	7	24	
衙门	2	6	16	
脱	1	4	11	
朱	1	1	6	
红色	2	4	12	
袍子	2	4	13	
编	1	2	12	
冠冕	2	6	20	
戴	1	4	17	
苇子	2	3	10	
恭喜	2	6	22	
完了	2	4	9	
古利奈	3	6	20	
勉强	2	5	21	
背着	2	4	20	
髑髅	2	7	40	
兵丁	2	3	9	
苦胆	2	6	17	
调和	2	6	18	
拈阄	2	5	18	
看守	2	4	15	
以上	2	4	7	
牌子	2	3	15	
罪状	2	4	19	
讥诮	2	5	16	
摇	1	3	13	
倚靠	2	7	25	
大声	2	3	10	
拉马撒巴各大尼	7	13	44	
呼叫	2	4	13	
跑	1	3	12	
绒	1	3	9	
醋	1	3	15	
绑	1	3	9	
气	1	3	4	
幔	1	4	14	
裂	1	3	12	
崩裂	2	6	23	
圣徒	2	4	15	
经历	2	5	12	
真是	2	5	19	
抹	1	2	8	
和约	2	4	14	
亚利马	3	5	16	
细	1	2	8	
麻布	2	5	16	
裹	1	3	14	
安放	2	4	14	
凿	1	4	12	
滚	1	5	13	
次日	2	3	10	
大人	2	2	5	
诱惑	2	7	21	
把守	2	4	13	
妥当	2	4	13	
利害	2	5	17	
封	1	3	9	
七日	2	2	6	
一日	2	2	5	
滚开	2	6	17	
貌	1	3	14	
雪	1	2	11	
吓	1	2	6	
浑身	2	4	16	
战	1	3	9	
急忙	2	5	15	
报	1	2	7	
抱	1	3	8	
保	1	3	9	
传说	2	6	15	
约定	2	4	14	
地下	2	4	9	
父子	2	3	7	
无以	2	3	8	
弯腰	2	5	22	
鞋带	2	6	24	
野兽	2	6	22	
宣传	2	6	15	
日期	2	4	16	
顺着	2	4	20	
雇工	2	3	15	
抽	1	2	8	
一阵	2	3	7	
惊讶	2	6	17	
听从	2	4	11	
雅各约翰	4	9	40	
和安得烈	4	11	35	
扶	1	2	7	
日落	2	5	16	
门前	2	4	12	
未	1	1	5	
追	1	2	9	
别处	2	5	12	
邻近	2	4	14	
乡村	2	3	10	
跪下	2	6	16	
即时	2	4	14	
严	1	4	7	
传扬	2	4	12	
不得	2	5	15	
只好	2	4	11	
空地	2	4	14	
所在	2	4	14	
房顶	2	4	16	
通	1	3	10	
卧	1	2	8	
缒	1	3	12	
心中	2	2	8	
当众	2	5	12	
作文	2	4	11	
健康	2	5	21	
不能	2	5	14	
缝	1	4	13	
惟	1	2	11	
缺乏	2	4	14	
亚比亚他	4	7	21	
设立	2	4	11	
窥探	2	7	24	
行善	2	6	18	
救命	2	5	19	
那样	2	4	16	
目	1	1	5	
刚	1	3	6	
大事	2	4	11	
拥挤	2	4	17	
灾	1	2	7	
何时	2	5	14	
再三	2	4	9	
显露	2	6	30	
其	1	2	8	
雷子	2	3	16	
饭	1	3	7	
顾不得	3	8	25	
亲属	2	4	21	
癫狂	2	7	28	
必先	2	3	11	
世人	2	2	7	
四面	2	8	14	
近海	2	5	17	
发生	2	2	10	
长大	2	2	7	
对外	2	4	10	
别样	2	5	17	
私欲	2	4	18	
床	1	2	7	
掩藏	2	6	28	
隐瞒	2	7	26	
留心	2	4	14	
黑夜	2	5	20	
白日	2	2	9	
这种	2	4	16	
发芽	2	3	12	
渐	1	3	11	
五谷	2	4	11	
自然	2	5	18	
穗	1	3	17	
结成	2	4	15	
饱满	2	6	21	
子粒	2	3	14	
谷	1	3	7	
熟	1	5	15	
镰刀	2	4	20	
割	1	4	12	
收成	2	3	12	
比较	2	4	14	
表明	2	4	16	
打入	2	3	7	
船尾	2	5	18	
枕	1	2	8	
向海	2	5	16	
静	1	2	14	
止住	2	3	11	
格拉森	3	8	30	
一下	2	3	4	
铁链	2	5	22	
屡次	2	5	18	
脚镣	2	7	28	
挣断	2	4	20	
制伏	2	4	14	
恳求	2	3	17	
山坡	2	3	16	
数目	2	4	18	
乡下	2	3	6	
回家	2	5	16	
坐船	2	6	18	
睚	1	4	13	
鲁	1	2	12	
快要	2	4	16	
得以	2	6	15	
好些	2	6	14	
不见	2	2	8	
病势	2	5	18	
杂	1	2	6	
源头	2	5	18	
觉得	2	7	20	
顿时	2	4	17	
恐惧	2	6	21	
兢	1	6	14	
实情	2	5	19	
平平安安	4	6	22	
劳动	2	5	13	
哭泣	2	5	18	
哀号	2	5	15	
米	1	1	6	
就是说	3	10	30	
长兄	2	3	9	
诧异	2	5	24	
挂	1	3	9	
怀恨	2	4	16	
圣人	2	3	7	
敬畏	2	6	21	
保护	2	5	16	
乐意	2	4	18	
游移	2	7	23	
不定	2	3	12	
恰巧	2	6	14	
千夫	2	2	7	
随意	2	5	24	
我国	2	5	15	
一半	2	2	6	
护卫	2	3	10	
葬	1	5	12	
歇	1	3	13	
工夫	2	2	7	
城步	2	3	16	
二十两	3	4	11	
看看	2	4	18	
帮	1	3	9	
青草地	3	7	33	
排	1	2	11	
一百一	3	4	8	
五十一	3	3	7	
摆	1	3	13	
男人	2	3	9	
辞别	2	5	20	
橹	1	3	16	
十分	2	3	6	
愚顽	2	5	23	
跑遍	2	5	24	
乡间	2	3	10	
缀	1	5	11	
俗	1	2	9	
原来	2	4	17	
拘	1	3	8	
洗浴	2	5	19	
规矩	2	4	17	
历代	2	4	9	
罐	1	5	23	
铜器	2	9	27	
诚然	2	5	20	
废弃	2	4	15	
板	1	3	8	
奉养	2	4	17	
承接	2	4	19	
肚	1	2	7	
贪婪	2	5	19	
诡诈	2	6	16	
淫荡	2	6	20	
骄傲	2	6	21	
狂妄	2	4	13	
起身	2	3	17	
希利尼	3	7	19	
叙	1	3	9	
非	1	1	8	
尼基	2	5	16	
耳聋	2	3	17	
舌	1	2	6	
探	1	4	11	
舌头	2	3	11	
叹息	2	4	15	
以法	2	4	12	
分外	2	4	9	
远处	2	5	12	
摆开	2	4	17	
人数	2	4	15	
大玛努	3	6	17	
盘问	2	4	17	
深深	2	8	22	
省悟	2	5	19	
抬头	2	4	13	
树木	2	4	13	
定睛	2	4	21	
样样	2	4	20	
村庄	2	4	13	
禁	1	3	13	
戒	1	2	7	
绝	1	2	9	
可耻	2	4	15	
漂	1	3	14	
利亚同摩西	5	10	40	
轻慢	2	7	23	
辩论	2	6	22	
哑巴	2	3	23	
捉弄	2	4	17	
摔倒	2	6	24	
中流	2	3	14	
沫	1	2	8	
咬牙切齿	4	9	25	
翻来覆去	4	11	48	
扔	1	2	5	
不足	2	3	11	
流泪	2	4	18	
聋哑	2	4	30	
争论	2	5	12	
首先	2	4	15	
轻易	2	5	17	
挡	1	3	9	
肢体	2	4	15	
瘸腿	2	7	29	
虫	1	1	6	
腌	1	3	12	
条例	2	5	15	
创造	2	6	16	
辜负	2	5	18	
从小	2	3	7	
色	1	2	6	
然	1	3	12	
死罪	2	5	19	
讨饭	2	5	12	
底	1	2	8	
巴底	2	3	12	
拉波尼	3	6	21	
门外	2	3	8	
祖大卫	3	4	15	
物件	2	4	14	
天色	2	3	10	
或者	2	5	16	
法子	2	3	11	
每天	2	3	11	
连根	2	4	17	
信服	2	4	17	
无论是	3	6	19	
空手	2	3	12	
转给	2	6	17	
留下	2	5	13	
篇	1	2	15	
载	1	2	10	
要紧	2	5	19	
独	1	2	9	
尽力	2	3	8	
那文士	3	5	13	
尽心	2	3	10	
智	1	3	12	
燔	1	3	16	
从此以后	4	9	20	
喜欢	2	5	18	
长衣	2	3	10	
游行	2	7	18	
银库	2	4	18	
入库	2	3	9	
若干	2	4	11	
穷	1	2	7	
大钱	2	3	13	
投入	2	3	9	
养生	2	3	14	
官	1	2	8	
自从	2	4	10	
万物	2	3	11	
二十四	3	6	9	
章	1	2	11	
天边	2	3	9	
几时	2	3	9	
祈祷	2	5	19	
寄居	2	7	19	
分派	2	5	13	
看门	2	3	12	
哒	1	3	9	
打破	2	4	15	
生气	2	4	9	
随时	2	5	18	
记念	2	4	13	
之中	2	2	7	
寻思	2	4	15	
羊羔	2	3	16	
迎面而来	4	10	29	
客房	2	5	17	
整齐	2	5	22	
间	1	2	7	
大楼	2	4	16	
惊恐	2	7	21	
阿爸	2	5	15	
撤	1	4	15	
牢牢	2	4	14	
一直	2	3	9	
火光	2	3	10	
烤火	2	4	14	
人手	2	2	6	
接	1	3	11	
在下	2	4	9	
前院	2	7	18	
思想	2	5	22	
作乱	2	4	14	
过人	2	3	8	
是因为	3	5	19	
那么样	3	5	19	
紫	1	3	12	
袍	1	3	10	
庆贺	2	5	15	
屈膝	2	7	23	
亚力山	3	4	16	
大和	2	3	11	
鲁孚	2	4	19	
列	1	2	6	
罪犯	2	4	18	
咳	1	2	9	
罗伊	2	4	14	
断气	2	5	15	
有些	2	5	14	
尊贵	2	5	21	
议	1	2	5	
放胆	2	5	17	
久	1	1	3	
不久	2	2	7	
得知	2	6	19	
挡住	2	5	16	
穿着	2	4	20	
白袍	2	4	15	
